date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:28	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202017%2019:37:09%20GMT	https://p.w3layouts.com/robots.txt		(from )
01:05:29	15700/15700	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2019:37:09%20GMT	https://p.w3layouts.com/demos/baku/web/	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/index.html	(from )
01:05:29	121261/121261	---MCZ	200	added ('OK')	text/css	etag:W/%22be0c78-1d9ad-526ee67f90c00%22	https://p.w3layouts.com/demos/baku/web/css/bootstrap.css	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/css/bootstrap.css	(from https://p.w3layouts.com/demos/baku/web/)
01:05:30	96381/96381	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be0cb0-1787d-526ee69d211c0%22	https://p.w3layouts.com/demos/baku/web/js/jquery.min.js	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/js/jquery.min.js	(from https://p.w3layouts.com/demos/baku/web/)
01:05:31	29914/29914	---MCZ	200	added ('OK')	text/css	etag:W/%22be0c7b-74da-526ee68179080%22	https://p.w3layouts.com/demos/baku/web/css/style.css	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/css/style.css	(from https://p.w3layouts.com/demos/baku/web/)
01:05:32	10571/10571	---MCZ	200	added ('OK')	application/javascript	etag:W/%22294b-544d1d2642384%22	http://cdn.fancybar.net/ac/fancybar.js?zoneid=1502&serve=C6ADVKE&placement=w3layouts	E:/logicq/baku_jewell/cdn.fancybar.net/ac/fancybar6a2f.js	(from https://p.w3layouts.com/demos/baku/web/)
01:05:34	29486/29486	---MC-	200	added ('OK')	text/javascript	date:Thu,%2027%20Apr%202017%2020:40:08%20GMT	http://www.google-analytics.com/analytics.js	E:/logicq/baku_jewell/www.google-analytics.com/analytics.js	(from https://p.w3layouts.com/demos/baku/web/)
01:05:37	56652/56652	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20May%202017%2019:30:21%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	E:/logicq/baku_jewell/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://p.w3layouts.com/demos/baku/web/)
01:05:37	15700/15700	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2019:37:14%20GMT	https://p.w3layouts.com/demos/baku/web/index.html	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/index-2.html	(from https://p.w3layouts.com/demos/baku/web/)
01:05:38	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	E:/logicq/baku_jewell/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos/baku/web/)
01:05:38	4555/4555	---M--	200	added ('OK')	image/png	etag:%22be0c91-11cb-526ee68fc7240%22	https://p.w3layouts.com/demos/baku/web/images/logo.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/logo.png	(from https://p.w3layouts.com/demos/baku/web/)
01:05:38	2935/2935	---M--	200	added ('OK')	image/png	etag:%22be0c92-b77-526ee690bb480%22	https://p.w3layouts.com/demos/baku/web/images/nav-icon.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/nav-icon.png	(from https://p.w3layouts.com/demos/baku/web/)
01:05:39	9646/9646	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2019:37:20%20GMT	https://p.w3layouts.com/demos/baku/web/404.html	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/404.html	(from https://p.w3layouts.com/demos/baku/web/)
01:05:39	14491/14491	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2019:37:20%20GMT	https://p.w3layouts.com/demos/baku/web/collections.html	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/collections.html	(from https://p.w3layouts.com/demos/baku/web/)
01:05:40	11245/11245	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2019:37:21%20GMT	https://p.w3layouts.com/demos/baku/web/contact.html	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/contact.html	(from https://p.w3layouts.com/demos/baku/web/)
01:05:40	3397/3397	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be0cb2-d45-526ee69e15400%22	https://p.w3layouts.com/demos/baku/web/js/responsiveslides.min.js	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/js/responsiveslides.min.js	(from https://p.w3layouts.com/demos/baku/web/)
01:05:41	37990/37990	---M--	200	added ('OK')	image/jpeg	etag:%22be0c9c-9466-526ee69768440%22	https://p.w3layouts.com/demos/baku/web/images/slide.jpg	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/slide.jpg	(from https://p.w3layouts.com/demos/baku/web/)
01:05:41	11308/11308	---M--	200	added ('OK')	image/png	etag:%22be0c94-2c2c-526ee691af6c0%22	https://p.w3layouts.com/demos/baku/web/images/pic1.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/pic1.png	(from https://p.w3layouts.com/demos/baku/web/)
01:05:42	79811/79811	---M--	200	added ('OK')	image/jpeg	etag:%22be0c9d-137c3-526ee69768440%22	https://p.w3layouts.com/demos/baku/web/images/slide2.jpg	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/slide2.jpg	(from https://p.w3layouts.com/demos/baku/web/)
01:05:42	8241/8241	---MCZ	200	added ('OK')	text/css	etag:W/%22be0c7a-2031-526ee67f90c00%22	https://p.w3layouts.com/demos/baku/web/css/owl.carousel.css	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/css/owl.carousel.css	(from https://p.w3layouts.com/demos/baku/web/)
01:05:43	37908/37908	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be0cb1-9414-526ee69e15400%22	https://p.w3layouts.com/demos/baku/web/js/owl.carousel.js	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/js/owl.carousel.js	(from https://p.w3layouts.com/demos/baku/web/)
01:05:43	14159/14159	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202017%2019:37:24%20GMT	https://p.w3layouts.com/demos/baku/web/details.html	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/details.html	(from https://p.w3layouts.com/demos/baku/web/)
01:05:44	20632/20632	---M--	200	added ('OK')	image/jpeg	etag:%22be0c95-5098-526ee692a3900%22	https://p.w3layouts.com/demos/baku/web/images/pic2.jpg	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/pic2.jpg	(from https://p.w3layouts.com/demos/baku/web/)
01:05:45	34917/34917	---M--	200	added ('OK')	image/png	etag:%22be0c96-8865-526ee69397b40%22	https://p.w3layouts.com/demos/baku/web/images/pic3.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/pic3.png	(from https://p.w3layouts.com/demos/baku/web/)
01:05:45	23898/23898	---M--	200	added ('OK')	image/png	etag:%22be0c97-5d5a-526ee69397b40%22	https://p.w3layouts.com/demos/baku/web/images/pic4.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/pic4.png	(from https://p.w3layouts.com/demos/baku/web/)
01:05:46	48490/48490	---M--	200	added ('OK')	image/png	etag:%22be0c98-bd6a-526ee6948bd80%22	https://p.w3layouts.com/demos/baku/web/images/pic5.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/pic5.png	(from https://p.w3layouts.com/demos/baku/web/)
01:05:46	36145/36145	---M--	200	added ('OK')	image/png	etag:%22be0c99-8d31-526ee6957ffc0%22	https://p.w3layouts.com/demos/baku/web/images/pic6.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/pic6.png	(from https://p.w3layouts.com/demos/baku/web/)
01:05:46	370/370	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202017%2019:37:27%20GMT	https://p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.eot	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.eot	(from https://p.w3layouts.com/demos/baku/web/css/bootstrap.css)
01:05:46	370/370	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202017%2019:37:27%20GMT	https://p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.eot?	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regulard41d.eot	(from https://p.w3layouts.com/demos/baku/web/css/bootstrap.css)
01:05:47	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202017%2019:37:28%20GMT	https://p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.woff	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.woff	(from https://p.w3layouts.com/demos/baku/web/css/bootstrap.css)
01:05:47	370/370	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202017%2019:37:28%20GMT	https://p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.ttf	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.ttf	(from https://p.w3layouts.com/demos/baku/web/css/bootstrap.css)
01:05:48	370/370	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202017%2019:37:28%20GMT	https://p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.svg	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/fonts/glyphicons-halflings-regular.svg	(from https://p.w3layouts.com/demos/baku/web/css/bootstrap.css)
01:05:48	351/351	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202017%2019:37:29%20GMT	https://p.w3layouts.com/demos/baku/web/images/pagenate.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/pagenate.png	(from https://p.w3layouts.com/demos/baku/web/css/bootstrap.css)
01:05:49	3914/3914	---M--	200	added ('OK')	image/png	etag:%22be0c7f-f4a-526ee68455740%22	https://p.w3layouts.com/demos/baku/web/images/cart-icon.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/cart-icon.png	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
01:05:49	3247/3247	---M--	200	added ('OK')	image/png	etag:%22be0c9a-caf-526ee6957ffc0%22	https://p.w3layouts.com/demos/baku/web/images/search-icon.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/search-icon.png	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
01:05:49	4555/4555	---M--	200	added ('OK')	image/png	etag:%22be0c9e-11cb-526ee6985c680%22	https://p.w3layouts.com/demos/baku/web/images/slider-icons.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/slider-icons.png	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
01:05:50	28099/28099	---M--	200	added ('OK')	image/jpeg	etag:%22be0ca1-6dc3-526ee69a44b00%22	https://p.w3layouts.com/demos/baku/web/images/wel-bg.jpg	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/wel-bg.jpg	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
01:05:50	3392/3392	---M--	200	added ('OK')	image/png	etag:%22be0c7c-d40-526ee68361500%22	https://p.w3layouts.com/demos/baku/web/images/arrow.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/arrow.png	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
01:05:50	3523/3523	---M--	200	added ('OK')	image/png	etag:%22be0c84-dc3-526ee68826040%22	https://p.w3layouts.com/demos/baku/web/images/footer-icons.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/footer-icons.png	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
01:05:51	4983/4983	---M--	200	added ('OK')	image/png	etag:%22be0c9f-1377-526ee6985c680%22	https://p.w3layouts.com/demos/baku/web/images/social-icons.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/social-icons.png	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
01:05:51	4374/4374	---M--	200	added ('OK')	image/png	etag:%22be0c93-1116-526ee690bb480%22	https://p.w3layouts.com/demos/baku/web/images/news-icon.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/news-icon.png	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
01:05:51	2949/2949	---M--	200	added ('OK')	image/png	etag:%22be0c9b-b85-526ee69674200%22	https://p.w3layouts.com/demos/baku/web/images/search-icon1.png	E:/logicq/baku_jewell/p.w3layouts.com/demos/baku/web/images/search-icon1.png	(from https://p.w3layouts.com/demos/baku/web/css/style.css)
